year,month,splticrm,nextmonth_return
1999,4,B-,30
1999,4,BB,136
1999,4,BB+,118
1999,4,BB-,183
1999,4,BBB,203
1999,4,BBB+,197
1999,4,BBB-,171
1999,4,CC,7
1999,4,CCC,12
1999,4,CCC+,21
1999,4,CCC-,3
1999,4,D,16
1999,4,SD,1
1999,5,A,172
1999,5,A+,121
1999,5,A-,152
1999,5,AA,41
1999,5,AA+,13
1999,5,AA-,79
1999,5,AAA,24
1999,5,B,93
1999,5,B+,189
1999,5,B-,31
1999,5,BB,134
1999,5,BB+,123
1999,5,BB-,185
1999,5,BBB,208
1999,5,BBB+,190
1999,5,BBB-,169
1999,5,CC,10
1999,5,CCC,9
1999,5,CCC+,21
1999,5,CCC-,2
1999,5,D,20
1999,5,SD,1
1999,6,A,179
1999,6,A+,121
1999,6,A-,147
1999,6,AA,42
1999,6,AA+,13
1999,6,AA-,77
1999,6,AAA,24
1999,6,B,97
1999,6,B+,186
1999,6,B-,28
1999,6,BB,134
1999,6,BB+,123
1999,6,BB-,183
1999,6,BBB,217
1999,6,BBB+,189
1999,6,BBB-,171
1999,6,CC,6
1999,6,CCC,12
1999,6,CCC+,22
1999,6,CCC-,3
1999,6,D,24
1999,6,SD,1
1999,7,A,178
1999,7,A+,123
1999,7,A-,145
1999,7,AA,45
1999,7,AA+,12
1999,7,AA-,76
1999,7,AAA,24
1999,7,B,92
1999,7,B+,189
1999,7,B-,29
1999,7,BB,137
1999,7,BB+,121
1999,7,BB-,181
1999,7,BBB,221
1999,7,BBB+,190
1999,7,BBB-,172
1999,7,CC,8
1999,7,CCC,10
1999,7,CCC+,22
1999,7,CCC-,2
1999,7,D,29
1999,7,SD,1
1999,8,A,174
1999,8,A+,122
1999,8,A-,143
1999,8,AA,43
1999,8,AA+,12
1999,8,AA-,77
1999,8,AAA,24
1999,8,B,102
1999,8,B+,181
1999,8,B-,30
1999,8,BB,134
1999,8,BB+,115
1999,8,BB-,179
1999,8,BBB,220
1999,8,BBB+,191
1999,8,BBB-,177
1999,8,CC,6
1999,8,CCC,11
1999,8,CCC+,21
1999,8,CCC-,2
1999,8,D,32
1999,8,SD,1
1999,9,A,174
1999,9,A+,120
1999,9,A-,141
1999,9,AA,43
1999,9,AA+,11
1999,9,AA-,77
1999,9,AAA,24
1999,9,B,99
1999,9,B+,179
1999,9,B-,32
1999,9,BB,133
1999,9,BB+,117
1999,9,BB-,187
1999,9,BBB,218
1999,9,BBB+,188
1999,9,BBB-,183
1999,9,CC,5
1999,9,CCC,9
1999,9,CCC+,21
1999,9,CCC-,5
1999,9,D,26
1999,9,SD,1
1999,10,A,177
1999,10,A+,119
1999,10,A-,141
1999,10,AA,43
1999,10,AA+,11
1999,10,AA-,77
1999,10,AAA,24
1999,10,B,102
1999,10,B+,179
1999,10,B-,32
1999,10,BB,134
1999,10,BB+,115
1999,10,BB-,186
1999,10,BBB,224
1999,10,BBB+,187
1999,10,BBB-,183
1999,10,CC,5
1999,10,CCC,7
1999,10,CCC+,19
1999,10,CCC-,6
1999,10,D,26
1999,10,SD,1
1999,11,A,176
1999,11,A+,121
1999,11,A-,141
1999,11,AA,42
1999,11,AA+,10
1999,11,AA-,78
1999,11,AAA,25
1999,11,B,99
1999,11,B+,177
1999,11,B-,32
1999,11,BB,128
1999,11,BB+,116
1999,11,BB-,187
1999,11,BBB,217
1999,11,BBB+,189
1999,11,BBB-,180
1999,11,CC,6
1999,11,CCC,11
1999,11,CCC+,23
1999,11,CCC-,4
1999,11,D,27
1999,11,SD,1
1999,12,A,170
1999,12,A+,122
1999,12,A-,145
1999,12,AA,41
1999,12,AA+,8
1999,12,AA-,76
1999,12,AAA,25
1999,12,B,101
