splticrm,year,month,nextmonth_return
A,1998,4,-1.6965709302325584
A,1998,5,0.8097017751479291
A,1998,6,-3.3992523255813945
A,1998,7,-13.156213690476187
A,1998,8,3.037261818181818
A,1998,9,11.21342356321839
A,1998,10,4.212686470588236
A,1998,11,5.159907647058824
A,1998,12,-1.5982023255813957
A,1999,1,-2.2158183908045976
A,1999,2,2.0065497076023395
A,1999,3,7.728864327485376
A,1999,4,-0.7148736842105264
A,1999,5,3.3303325581395358
A,1999,6,-2.066208938547486
A,1999,7,-3.043001123595506
A,1999,8,-3.8665097701149445
A,1999,9,3.624708620689654
A,1999,10,-0.8637474576271182
A,1999,11,0.8336187500000001
A,1999,12,-3.794241176470588
A,2000,1,-5.698437500000002
A,2000,2,10.907972189349112
A,2000,3,2.549879141104295
A,2000,4,1.5979509202453985
A,2000,5,-2.3316037037037
A,2000,6,0.37529999999999997
A,2000,7,4.804760389610389
A,2000,8,-0.5903575949367088
A,2000,9,2.213976282051283
A,2000,10,-0.8596110389610387
A,2000,11,7.498259999999997
A,2000,12,0.23317727272727265
A,2001,1,-2.200899371069182
A,2001,2,-2.501572784810127
A,2001,3,5.020421472392638
A,2001,4,2.1168843750000015
A,2001,5,-1.836164516129033
A,2001,6,-0.12413062499999997
A,2001,7,-2.0865788819875783
A,2001,8,-6.571619745222929
A,2001,9,0.24628050314465444
A,2001,10,6.580727450980392
A,2001,11,2.756087417218543
A,2001,12,-0.6161459999999997
A,2002,1,2.0457146666666657
A,2002,2,4.915761333333332
A,2002,3,-0.18311266666666676
A,2002,4,1.019831125827814
A,2002,5,-3.7020987012987012
A,2002,6,-7.5826109677419335
A,2002,7,1.3105119205298015
A,2002,8,-8.50057948717949
A,2002,9,4.367384905660376
A,2002,10,3.9591800000000026
A,2002,11,-1.5250769736842118
A,2002,12,-1.3354543624161066
A,2003,1,-2.4413020270270285
A,2003,2,-0.767744
A,2003,3,6.66816092715232
A,2003,4,7.718414666666666
A,2003,5,1.1358315789473687
A,2003,6,2.773159477124183
A,2003,7,1.6955288461538458
A,2003,8,0.04908525641025652
A,2003,9,5.994061874999999
A,2003,10,2.0712083333333333
A,2003,11,4.4318301204819255
A,2003,12,1.8627566265060245
A,2004,1,2.025845562130178
A,2004,2,0.40637411764705866
A,2004,3,-1.733866279069767
A,2004,4,0.26227500000000026
A,2004,5,1.8472313609467452
A,2004,6,-2.3783352941176483
A,2004,7,1.1883405882352949
A,2004,8,2.0249839285714284
A,2004,9,2.3511970414201175
A,2004,10,4.233808875739646
A,2004,11,2.9785811764705885
A,2004,12,-1.9740252941176477
A,2005,1,1.6883857142857142
A,2005,2,-1.2346947368421055
A,2005,3,-0.8702274853801171
A,2005,4,2.5666499999999997
A,2005,5,1.3486763313609476
A,2005,6,2.509274999999998
A,2005,7,-0.1456900584795321
A,2005,8,1.274737356321839
A,2005,9,-2.0724051724137937
A,2005,10,3.002023699421965
A,2005,11,1.3246656976744184
A,2005,12,2.6929011627906974
A,2006,1,1.0209546012269932
A,2006,2,1.969108333333333
A,2006,3,1.7893765957446808
A,2006,4,-1.6057312500000007
A,2006,5,-0.43400958904109604
A,2006,6,0.9507195804195803
A,2006,7,1.5464789855072458
A,2006,8,1.6602153284671528
A,2006,9,2.2600529411764714
A,2006,10,1.5417500000000002
A,2006,11,2.3042053846153827
A,2006,12,1.2993376923076918
A,2007,1,-0.572891338582677
A,2007,2,0.8543457364341087
A,2007,3,3.55326153846154
A,2007,4,3.3175801526717557
A,2007,5,-1.433724615384615
A,2007,6,-3.4573492307692315
A,2007,7,0.1300147286821705
A,2007,8,4.166448412698411
A,2007,9,0.3195787401574804
A,2007,10,-2.11110465116279
A,2007,11,-0.666784
A,2007,12,-5.1784926229508175
A,2008,1,-1.864772131147541
A,2008,2,-1.5767611570247935
A,2008,3,4.099000854700855
A,2008,4,1.8427369747899158
A,2008,5,-8.613804166666664
A,2008,6,1.008932
A,2008,7,1.9116933884297518
A,2008,8,-9.764650847457633
A,2008,9,-17.376129310344833
A,2008,10,-6.501518260869567
A,2008,11,7.550131192660549
A,2008,12,-11.731953658536582
A,2009,1,-11.452436666666673
A,2009,2,13.692706722689078
A,2009,3,16.307992125984253
A,2009,4,10.0712096
A,2009,5,1.7033920634920632
A,2009,6,7.933072440944882
A,2009,7,3.663599236641222
A,2009,8,4.610707692307692
A,2009,9,-2.8190687022900747
A,2009,10,3.8229378787878767
A,2009,11,1.6174830769230768
A,2009,12,-1.413482575757576
A,2010,1,3.6351446153846156
A,2010,2,5.856082677165355
A,2010,3,0.8057609374999993
A,2010,4,-8.239089999999997
A,2010,5,-3.6124549618320603
A,2010,6,9.370003703703706
A,2010,7,-3.385733082706766
A,2010,8,8.275512030075191
A,2010,9,3.103762698412697
A,2010,10,-0.9092552
A,2010,11,7.101380952380953
A,2010,12,2.945333870967741
A,2011,1,3.669711382113822
A,2011,2,-0.2023748031496063
A,2011,3,3.119103999999999
A,2011,4,-1.7534960000000004
A,2011,5,-1.1280178861788621
A,2011,6,-3.909859999999998
A,2011,7,-6.703233898305089
A,2011,8,-9.31504827586207
A,2011,9,11.625080172413792
A,2011,10,-1.3772741379310347
A,2011,11,-0.8742359223300967
A,2011,12,6.073069607843138
A,2012,1,4.336346153846156
A,2012,2,1.0224320388349515
A,2012,3,-0.9790276190476188
A,2012,4,-7.378434905660378
A,2012,5,3.934746153846156
A,2012,6,0.35531683168316847
A,2012,7,2.5968245098039207
A,2012,8,2.264680208333333
A,2012,9,-0.008551041666666847
A,2012,10,2.6917061224489784
A,2012,11,2.6612223404255317
A,2012,12,6.516259782608696
A,2013,1,-0.03688947368421077
A,2013,2,2.383060638297872
A,2013,3,2.600972631578947
A,2013,4,2.0879599999999994
A,2013,5,-1.3403979166666666
A,2013,6,5.924044791666666
A,2013,7,-2.421471428571428
A,2013,8,4.560786138613863
A,2013,9,3.7023833333333336
A,2013,10,2.0671682692307702
A,2013,11,2.091449514563107
A,2013,12,-3.2565910000000002
A,2014,1,4.904704000000001
A,2014,2,1.2116439999999993
A,2014,3,0.32786039603960376
A,2014,4,1.053102884615385
A,2014,5,2.2749383177570097
A,2014,6,-1.8533703703703694
A,2014,7,2.792997247706421
A,2014,8,-1.7677055555555563
A,2014,9,1.8868917431192667
A,2014,10,2.0889709090909085
A,2014,11,-0.7484861111111109
A,2014,12,-3.3356726415094347
A,2015,1,5.341566981132072
A,2015,2,-1.2019598130841118
A,2015,3,1.5609370370370377
A,2015,4,0.5999481481481482
A,2015,5,-1.6232414414414411
A,2015,6,0.7373403669724772
A,2015,7,-5.2121467289719625
A,2015,8,-3.328285981308412
A,2015,9,6.551659223300971
A,2015,10,0.20542199999999983
A,2015,11,-2.2199970000000007
A,2015,12,-4.284676000000001
A,2016,1,0.08430990099009952
A,2016,2,7.478339000000001
A,2016,3,3.0259533980582543
A,2016,4,0.08103725490196083
A,2016,5,-0.5669861386138615
A,2016,6,3.4309079999999996
A,2016,7,0.8495601941747568
A,2016,8,0.5872875
A,2016,9,-0.45191881188118826
A,2016,10,5.092579
A,2016,11,2.322169607843137
A,2016,12,2.7606394230769222
A,2017,1,1.368685436893204
A,2017,2,1.5539047619047621
A+,1998,4,-0.6358862745098043
A+,1998,5,3.1080951923076894
A+,1998,6,-2.5302074766355154
A+,1998,7,-8.610553333333332
A+,1998,8,2.2704475247524747
A+,1998,9,5.769353448275865
A+,1998,10,4.855771428571428
A+,1998,11,2.2971677419354837
A+,1998,12,-1.5201886178861796
A+,1999,1,-2.5130840336134455
A+,1999,2,0.19587083333333338
A+,1999,3,6.532934166666668
A+,1999,4,-1.0330833333333334
A+,1999,5,2.8487239669421487
A+,1999,6,-1.6116611570247934
A+,1999,7,-1.992781300813007
A+,1999,8,-3.823954918032787
A+,1999,9,4.518918333333336
A+,1999,10,-1.3433243697479
A+,1999,11,1.9354735537190093
A+,1999,12,-3.6725836065573754
A+,2000,1,-3.792946341463413
A+,2000,2,7.290368852459013
A+,2000,3,-1.3068294573643409
A+,2000,4,2.0604320312499986
A+,2000,5,-2.275364285714285
A+,2000,6,2.9092015624999994
A+,2000,7,4.142888888888887
A+,2000,8,-0.47791102362204735
A+,2000,9,3.759819531249998
A+,2000,10,-0.2542613636363638
A+,2000,11,4.2759828125
A+,2000,12,-0.6538911290322581
A+,2001,1,-1.0660495575221238
A+,2001,2,-3.21199557522124
A+,2001,3,4.034674999999998
A+,2001,4,2.4997491071428573
A+,2001,5,-1.0329590909090904
A+,2001,6,-0.9574758620689651
A+,2001,7,0.10777217391304354
A+,2001,8,-6.5621210084033645
A+,2001,9,0.45868429752066103
A+,2001,10,5.931282352941177
A+,2001,11,1.6994165289256202
A+,2001,12,0.10670085470085472
A+,2002,1,1.1176075630252096
A+,2002,2,3.5468454545454553
A+,2002,3,0.9262600000000003
A+,2002,4,0.6422615384615381
A+,2002,5,-4.782843220338985
A+,2002,6,-6.799478151260503
A+,2002,7,0.6031107438016532
A+,2002,8,-7.845488034188035
A+,2002,9,5.1719596638655485
A+,2002,10,3.3501579365079364
A+,2002,11,-2.547651181102361
A+,2002,12,-1.501415267175573
A+,2003,1,-1.5963945312499996
A+,2003,2,-0.8491579365079365
A+,2003,3,7.084686065573768
A+,2003,4,5.608448780487805
A+,2003,5,1.8923341880341877
A+,2003,6,2.274195652173913
A+,2003,7,1.7182078260869564
A+,2003,8,-0.23190175438596486
A+,2003,9,5.407396363636363
A+,2003,10,1.6721123711340211
A+,2003,11,5.122877777777778
A+,2003,12,2.3240696969696977
A+,2004,1,2.008865625
A+,2004,2,-1.0269603960396034
A+,2004,3,-1.8598918367346935
A+,2004,4,0.9285628865979382
A+,2004,5,2.589198958333334
A+,2004,6,-0.963301041666667
A+,2004,7,0.6285520408163264
A+,2004,8,1.515975490196078
A+,2004,9,2.326206862745098
A+,2004,10,3.9890020408163265
A+,2004,11,3.466045360824742
A+,2004,12,-0.9590242105263159
A+,2005,1,2.367849999999999
A+,2005,2,-1.609015789473685
A+,2005,3,-2.7765757894736836
A+,2005,4,1.5393071428571425
A+,2005,5,1.258949494949495
A+,2005,6,4.542163000000001
A+,2005,7,-0.746019587628866
A+,2005,8,0.786425263157895
A+,2005,9,-0.6080311827956988
A+,2005,10,3.9387585106382983
A+,2005,11,0.28169400000000033
A+,2005,12,3.5879393939393935
A+,2006,1,1.0726988888888886
A+,2006,2,2.4750670454545456
A+,2006,3,2.3224078651685396
A+,2006,4,-2.6556422222222227
A+,2006,5,-0.4256953488372094
A+,2006,6,0.8986275862068964
A+,2006,7,2.4563609195402303
A+,2006,8,2.7918425287356317
A+,2006,9,4.026260714285711
A+,2006,10,2.1072817073170733
A+,2006,11,2.0824880952380957
A+,2006,12,1.6403726190476189
A+,2007,1,-0.5200571428571428
A+,2007,2,1.1258500000000002
A+,2007,3,3.421255405405405
A+,2007,4,2.8076631578947366
A+,2007,5,-0.7092213333333329
A+,2007,6,-3.0367607594936707
A+,2007,7,0.5548635135135133
A+,2007,8,4.786668493150684
A+,2007,9,1.3660178082191783
A+,2007,10,-3.8954164383561665
A+,2007,11,-2.8468810810810803
A+,2007,12,-4.530502666666666
A+,2008,1,-2.9000171052631583
A+,2008,2,-0.6317948717948719
A+,2008,3,5.345162337662336
A+,2008,4,0.10815844155844155
A+,2008,5,-10.149939473684208
A+,2008,6,1.9270535211267608
A+,2008,7,1.886909589041096
A+,2008,8,-10.202747887323941
A+,2008,9,-15.636086956521737
A+,2008,10,-7.975552000000001
A+,2008,11,2.7677173333333327
A+,2008,12,-11.890405333333332
A+,2009,1,-14.73238
A+,2009,2,12.951718840579712
A+,2009,3,15.421718461538465
A+,2009,4,9.549093846153845
A+,2009,5,0.03041818181818169
A+,2009,6,10.857242424242424
A+,2009,7,4.652969354838713
A+,2009,8,3.794691935483871
A+,2009,9,-3.007768852459016
A+,2009,10,5.786338333333333
A+,2009,11,2.812983333333334
A+,2009,12,-3.5812416666666675
A+,2010,1,1.8274841269841273
A+,2010,2,6.549029687500001
A+,2010,3,-1.2921852459016392
A+,2010,4,-8.715521666666667
A+,2010,5,-3.7902266666666677
A+,2010,6,8.916861016949152
A+,2010,7,-5.05343
A+,2010,8,8.307291666666668
A+,2010,9,4.432796721311476
A+,2010,10,-1.5574790322580645
A+,2010,11,6.025672580645163
A+,2010,12,0.7412901639344264
A+,2011,1,3.1422709677419345
A+,2011,2,-0.6527483870967745
A+,2011,3,3.6897370967741936
A+,2011,4,-0.732633870967742
A+,2011,5,-0.7900507936507941
A+,2011,6,-2.565534375
A+,2011,7,-6.116142187499999
A+,2011,8,-7.965221875
A+,2011,9,10.035483076923075
A+,2011,10,-2.102687692307693
A+,2011,11,-0.04366470588235303
A+,2011,12,5.323600000000001
A+,2012,1,4.027562499999999
A+,2012,2,2.890309523809524
A+,2012,3,-0.8415306451612904
A+,2012,4,-7.803829508196718
A+,2012,5,4.192146666666666
A+,2012,6,0.33325555555555547
A+,2012,7,2.8039870967741933
A+,2012,8,2.6060359374999993
A+,2012,9,0.8383999999999999
A+,2012,10,1.8881151515151517
A+,2012,11,3.0639393939393944
A+,2012,12,6.1026194029850735
A+,2013,1,0.4585661764705882
A+,2013,2,1.6495333333333335
A+,2013,3,2.2372461538461543
A+,2013,4,0.7922230769230766
A+,2013,5,-2.5190476923076925
A+,2013,6,5.414652380952382
A+,2013,7,-2.766687096774193
A+,2013,8,4.359386885245901
A+,2013,9,4.503837704918031
A+,2013,10,1.8053278688524583
A+,2013,11,2.2436898305084747
A+,2013,12,-5.650119047619049
A+,2014,1,4.9604870967741945
A+,2014,2,0.6555983870967741
A+,2014,3,1.6033311475409837
A+,2014,4,1.521922950819672
A+,2014,5,1.7141416666666658
A+,2014,6,-0.9002900000000001
A+,2014,7,2.11347
A+,2014,8,-2.4433360655737704
A+,2014,9,1.93096393442623
A+,2014,10,2.7859491803278686
A+,2014,11,-1.1298145161290318
A+,2014,12,-3.303053225806452
A+,2015,1,6.08590806451613
A+,2015,2,-0.8966803278688523
A+,2015,3,2.271881967213115
A+,2015,4,0.1343516666666665
A+,2015,5,-2.3181250000000007
A+,2015,6,2.0452299999999997
A+,2015,7,-5.600021666666668
A+,2015,8,-2.2576199999999997
A+,2015,9,6.626384745762713
A+,2015,10,-0.6272245614035087
A+,2015,11,-2.9124410714285713
A+,2015,12,-3.450139622641509
A+,2016,1,0.10501818181818175
A+,2016,2,7.457070689655171
A+,2016,3,2.903753703703703
A+,2016,4,-0.8820018867924526
A+,2016,5,0.4121960000000003
A+,2016,6,3.587168627450982
A+,2016,7,0.35434693877551027
A+,2016,8,0.46261224489795927
A+,2016,9,-0.7170755102040818
A+,2016,10,4.2503040816326525
A+,2016,11,2.163466666666667
A+,2016,12,1.7586693877551027
A+,2017,1,2.865270833333333
A+,2017,2,0.7205708333333334
A-,1998,4,-2.969055862068965
A-,1998,5,-1.2146620000000006
A-,1998,6,-0.26267046979865766
A-,1998,7,-14.861597260273973
A-,1998,8,7.223133802816901
A-,1998,9,7.70401920529801
A-,1998,10,2.665481045751634
A-,1998,11,2.593878846153847
A-,1998,12,-0.6146684210526306
A-,1999,1,-1.662237908496732
A-,1999,2,2.8892614379084973
A-,1999,3,7.634183116883115
A-,1999,4,0.26705333333333303
A-,1999,5,2.169734868421053
A-,1999,6,-1.1306482993197275
A-,1999,7,-2.530699310344828
A-,1999,8,-4.281213286713285
A-,1999,9,0.14726241134751786
A-,1999,10,0.4220581560283689
A-,1999,11,0.3765134751773046
A-,1999,12,27.818143448275872
A-,2000,1,1.7492394366197155
A-,2000,2,9.483872262773723
A-,2000,3,0.21064850746268704
A-,2000,4,3.405451515151514
