,cik,datadate,splticrm
30769,320193.0,20130831,AA+
30770,320193.0,20130930,AA+
30771,320193.0,20131031,AA+
30772,320193.0,20131130,AA+
30773,320193.0,20131231,AA+
30774,320193.0,20140131,AA+
30775,320193.0,20140228,AA+
30776,320193.0,20140331,AA+
30777,320193.0,20140430,AA+
30778,320193.0,20140531,AA+
30779,320193.0,20140630,AA+
30780,320193.0,20140731,AA+
30781,320193.0,20140831,AA+
30782,320193.0,20140930,AA+
30783,320193.0,20141031,AA+
30784,320193.0,20141130,AA+
30785,320193.0,20141231,AA+
30786,320193.0,20150131,AA+
30787,320193.0,20150228,AA+
30788,320193.0,20150331,AA+
30789,320193.0,20150430,AA+
30790,320193.0,20150531,AA+
30791,320193.0,20150630,AA+
30792,320193.0,20150731,AA+
30793,320193.0,20150831,AA+
30794,320193.0,20150930,AA+
30795,320193.0,20151031,AA+
30796,320193.0,20151130,AA+
30797,320193.0,20151231,AA+
30798,320193.0,20160131,AA+
30799,320193.0,20160229,AA+
30800,320193.0,20160331,AA+
30801,320193.0,20160430,AA+
30802,320193.0,20160531,AA+
30803,320193.0,20160630,AA+
30804,320193.0,20160731,AA+
30805,320193.0,20160831,AA+
30806,320193.0,20160930,AA+
30807,320193.0,20161031,AA+
30808,320193.0,20161130,AA+
30809,320193.0,20161231,AA+
30810,320193.0,20170131,AA+
30811,320193.0,20170228,AA+
